Iteração,Tempo
0,0 days 00:00:00
1,0 days 00:00:00
2,0 days 00:00:00
3,0 days 00:00:00
4,0 days 00:00:00
5,0 days 00:00:00
6,0 days 00:00:00
7,0 days 00:00:00
8,0 days 00:00:00
9,0 days 00:00:00.004401
10,0 days 00:00:00.000472
11,0 days 00:00:00
12,0 days 00:00:00
13,0 days 00:00:00.001098
14,0 days 00:00:00
15,0 days 00:00:00.001043
16,0 days 00:00:00.002979
17,0 days 00:00:00.001020
18,0 days 00:00:00.002995
19,0 days 00:00:00.003018
20,0 days 00:00:00.005687
21,0 days 00:00:00.000551
22,0 days 00:00:00
23,0 days 00:00:00.065334
24,0 days 00:00:00.016763
25,0 days 00:00:00.016615
26,0 days 00:00:00.064775
27,0 days 00:00:00.085104
28,0 days 00:00:00.152805
29,0 days 00:00:00.196694
30,0 days 00:00:00.299209
31,0 days 00:00:00.367509
32,0 days 00:00:00.556296
33,0 days 00:00:00.944201
34,0 days 00:00:01.067284
35,0 days 00:00:01.667213
36,0 days 00:00:02.050779
37,0 days 00:00:03.268533
38,0 days 00:00:04.351547
39,0 days 00:00:06.335907
40,0 days 00:00:08.218947
41,0 days 00:00:11.587613
42,0 days 00:00:16.556513
43,0 days 00:00:25.609578
44,0 days 00:00:31.359294
45,0 days 00:00:51.988175
46,0 days 00:01:08.077758
47,0 days 00:01:53.072960
48,0 days 00:02:59.833713
