Iteração,Tempo
0,0:00:00
1,0:00:00
2,0:00:00
3,0:00:00
4,0:00:00
5,0:00:00
6,0:00:00
7,0:00:00
8,0:00:00
9,0:00:00
10,0:00:00
11,0:00:00
12,0:00:00
13,0:00:00
14,0:00:00
15,0:00:00
16,0:00:00
17,0:00:00
18,0:00:00
19,0:00:00
20,0:00:00
21,Não foi possível encontrar a solução
22,Não foi possível encontrar a solução
23,Não foi possível encontrar a solução
24,Não foi possível encontrar a solução
25,Não foi possível encontrar a solução
26,Não foi possível encontrar a solução
27,Não foi possível encontrar a solução
28,Não foi possível encontrar a solução
29,Não foi possível encontrar a solução
30,Não foi possível encontrar a solução
31,Não foi possível encontrar a solução
32,Não foi possível encontrar a solução
33,Não foi possível encontrar a solução
34,Não foi possível encontrar a solução
35,Não foi possível encontrar a solução
36,Não foi possível encontrar a solução
37,Não foi possível encontrar a solução
38,Não foi possível encontrar a solução
39,Não foi possível encontrar a solução
40,Não foi possível encontrar a solução
41,Não foi possível encontrar a solução
42,Não foi possível encontrar a solução
43,Não foi possível encontrar a solução
44,Não foi possível encontrar a solução
45,Não foi possível encontrar a solução
46,Não foi possível encontrar a solução
47,Não foi possível encontrar a solução
48,Não foi possível encontrar a solução
49,Não foi possível encontrar a solução
